iter	RMSE
0	6912.22276
1	6309.391072
2	5784.38503
3	5323.232419
4	4915.628225
5	4557.382025
6	4246.109691
7	3974.486703
8	3738.093893
9	3536.252549
10	3358.835886
11	3205.219154
12	3073.990335
13	2961.358633
14	2861.891737
15	2774.772272
16	2702.495979
17	2639.329185
18	2582.660633
19	2535.113087
20	2494.043425
21	2457.51434
22	2426.625428
23	2397.593821
24	2373.013022
25	2351.729623
26	2333.476105
27	2317.241535
28	2302.696218
29	2288.713147
30	2277.360908
31	2266.875096
32	2256.529379
33	2247.597269
34	2239.769429
35	2232.861587
36	2226.331571
37	2220.579096
38	2215.327825
39	2210.540897
40	2205.370136
41	2201.399201
42	2197.559141
43	2194.129526
44	2190.621337
45	2187.630601
46	2184.694996
47	2182.06322
48	2179.906353
49	2177.927157
50	2175.318848
51	2173.210586
52	2170.693597
53	2168.769339
54	2167.53884
55	2165.264343
56	2163.351664
57	2161.715707
58	2160.155318
59	2159.077386
60	2157.720318
61	2156.349448
62	2155.431479
63	2153.942687
64	2152.988654
65	2151.985597
66	2151.286142
67	2149.763509
68	2148.771415
69	2147.312861
70	2146.489769
71	2145.361012
72	2144.451543
73	2143.424496
74	2142.773902
75	2141.489806
76	2140.406318
77	2139.805013
78	2138.97351
79	2138.131576
80	2137.614816
81	2136.977783
82	2136.264562
83	2135.515184
84	2134.566904
85	2133.843477
86	2132.911186
87	2132.111775
88	2131.219308
89	2130.241589
90	2129.390782
91	2128.651978
92	2127.970112
93	2127.444689
94	2126.950018
95	2126.352516
96	2125.503283
97	2124.673441
98	2124.107999
99	2123.457667
100	2123.067101
101	2122.365685
102	2121.729221
103	2121.048435
104	2120.35347
105	2119.712152
106	2119.258882
107	2118.714391
108	2118.302152
109	2117.769673
110	2117.17309
111	2116.554366
112	2116.134973
113	2115.523611
114	2114.960575
115	2114.393834
116	2113.966202
117	2113.536434
118	2113.078503
119	2112.618752
120	2112.142178
121	2111.69396
122	2111.281637
123	2110.787424
124	2110.339166
125	2109.657334
126	2109.273339
127	2108.630623
128	2108.141975
129	2107.657952
130	2107.141683
131	2106.93807
132	2106.521734
133	2106.016709
134	2105.709397
135	2105.123744
136	2104.822953
137	2104.321431
138	2103.948874
139	2103.507327
140	2103.129398
141	2102.834995
142	2102.476533
143	2102.274788
144	2101.880408
145	2101.437108
146	2101.118593
147	2100.736884
148	2100.229554
149	2099.734603
150	2099.208481
151	2098.847924
152	2098.489963
153	2098.151052
154	2097.783043
155	2097.571641
156	2097.131495
157	2096.783677
158	2096.477425
159	2096.113285
160	2095.711181
161	2095.256425
162	2094.784621
163	2094.51835
164	2094.163473
165	2093.500173
166	2093.130048
167	2092.798625
168	2092.3128
169	2092.089366
170	2091.543891
171	2091.184331
172	2090.93799
173	2090.640644
174	2090.335634
175	2090.075615
176	2089.85269
177	2089.61837
178	2089.123202
179	2088.841783
180	2088.466168
181	2088.175294
182	2087.909999
183	2087.600521
184	2086.998722
185	2086.698692
186	2086.453903
187	2086.157032
188	2085.807811
189	2085.4751
190	2085.273965
191	2084.971146
192	2084.714949
193	2084.520474
194	2083.987844
195	2083.797918
196	2083.497998
197	2083.23352
198	2083.003644
199	2082.752834
200	2082.45601
201	2082.133442
202	2081.849647
203	2081.564812
204	2081.325412
205	2081.076779
206	2080.761085
207	2080.501249
208	2080.346664
209	2080.174305
210	2079.599273
211	2079.345389
212	2079.159782
213	2078.835983
214	2078.584339
215	2078.084955
216	2077.823623
217	2077.660681
218	2077.344166
219	2077.107988
220	2076.86882
221	2076.621946
222	2076.246129
223	2076.102795
224	2075.789864
225	2075.605224
226	2075.399209
227	2075.10321
228	2074.818666
229	2074.649493
230	2074.336002
231	2074.053452
232	2073.785207
233	2073.618078
234	2073.194061
235	2072.981912
236	2072.693714
237	2072.453276
238	2072.116174
239	2071.839893
240	2071.591565
241	2071.290965
242	2071.129769
243	2070.94022
244	2070.712683
245	2070.510983
246	2070.10606
247	2069.891325
248	2069.707282
249	2069.382348
250	2069.052478
251	2068.723467
252	2068.524912
253	2068.234688
254	2067.97381
255	2067.588483
256	2067.439616
257	2067.20149
258	2066.960213
259	2066.715741
260	2066.576704
261	2066.287924
262	2065.944161
263	2065.733885
264	2065.481226
265	2065.09539
266	2064.858676
267	2064.54712
268	2064.378344
269	2064.038372
270	2063.801152
271	2063.537227
272	2063.420773
273	2063.267823
274	2063.014771
275	2062.775774
276	2062.591926
277	2062.397658
278	2062.147073
279	2061.969022
280	2061.785176
281	2061.54803
282	2061.337629
283	2061.025681
284	2060.840301
285	2060.555246
286	2060.29356
287	2059.955185
288	2059.564031
289	2059.35091
290	2059.126084
291	2058.906939
292	2058.738923
293	2058.298632
294	2058.047379
295	2057.781622
296	2057.565654
297	2057.290982
298	2057.097931
299	2056.976247
300	2056.860538
301	2056.763422
302	2056.60001
303	2056.457039
304	2056.328367
305	2056.014752
306	2055.777888
307	2055.539374
308	2055.263237
309	2055.008734
310	2054.730115
311	2054.403546
312	2054.186466
313	2053.91098
314	2053.752023
315	2053.544207
316	2053.244743
317	2053.008064
318	2052.787652
319	2052.664224
320	2052.295463
321	2052.081521
322	2051.864378
323	2051.703196
324	2051.586765
325	2051.308811
326	2051.118985
327	2050.937316
328	2050.693281
329	2050.430508
330	2050.252362
331	2049.9448
332	2049.695885
333	2049.458749
334	2049.335519
335	2049.125689
336	2048.902103
337	2048.743043
338	2048.417341
339	2048.073081
340	2047.878528
341	2047.704584
342	2047.575893
343	2047.413669
344	2047.149978
345	2047.048327
346	2046.747729
347	2046.481931
348	2046.306357
349	2046.154576
350	2045.940516
351	2045.799393
352	2045.61549
353	2045.35326
354	2045.163961
355	2044.97069
356	2044.773422
357	2044.592925
358	2044.487314
359	2044.259718
360	2044.035784
361	2043.719813
362	2043.484834
363	2043.279545
364	2043.112868
365	2042.885087
366	2042.763412
367	2042.42587
368	2042.257714
369	2042.137847
370	2041.922475
371	2041.650801
372	2041.490093
373	2041.303826
374	2041.036315
375	2040.779671
376	2040.581406
377	2040.442982
378	2040.275442
379	2040.103879
380	2039.929643
381	2039.608542
382	2039.435106
383	2039.240811
384	2039.081011
385	2038.8632
386	2038.697384
387	2038.556974
388	2038.379385
389	2038.15546
390	2037.9263
391	2037.777721
392	2037.547471
393	2037.436167
394	2037.32146
395	2037.080175
396	2036.835088
397	2036.638368
398	2036.521152
399	2036.428978
400	2036.1344
401	2035.943914
402	2035.76435
403	2035.600347
404	2035.438095
405	2035.299336
406	2035.140206
407	2035.009496
408	2034.822348
409	2034.624228
410	2034.41191
411	2034.145301
412	2033.909856
413	2033.700818
414	2033.450993
415	2033.300864
416	2033.115232
417	2032.961191
418	2032.708892
419	2032.570689
420	2032.461281
421	2032.203961
422	2032.041777
423	2031.914601
424	2031.721525
425	2031.572424
426	2031.475853
427	2031.398085
428	2031.316893
429	2031.234193
430	2031.093723
431	2030.997556
432	2030.839922
433	2030.718091
434	2030.518664
435	2030.408449
436	2030.262357
437	2030.176936
438	2030.004254
439	2029.899724
440	2029.640173
441	2029.456479
442	2029.262901
443	2029.125241
444	2028.858975
445	2028.619789
446	2028.523409
447	2028.356351
448	2028.193013
449	2028.12899
450	2028.007402
451	2027.826352
452	2027.652348
453	2027.4714
454	2027.312553
455	2027.127407
456	2026.954264
457	2026.716145
458	2026.659317
459	2026.423933
460	2026.25508
461	2026.082939
462	2025.957146
463	2025.820068
464	2025.701033
465	2025.567078
466	2025.411747
467	2025.176372
468	2024.922329
469	2024.763633
470	2024.571116
471	2024.368333
472	2024.174327
473	2023.972353
474	2023.832024
475	2023.665164
476	2023.336606
477	2023.239901
478	2023.092374
479	2022.974199
480	2022.90924
481	2022.786831
482	2022.719294
483	2022.597535
484	2022.401035
485	2022.236349
486	2022.091632
487	2021.920418
488	2021.809367
489	2021.650303
490	2021.415904
491	2021.261794
492	2021.111262
493	2020.987826
494	2020.80137
495	2020.592354
496	2020.401986
497	2020.108243
498	2019.949795
499	2019.778543
500	2019.662805
501	2019.564924
502	2019.409181
503	2019.258504
504	2019.028027
505	2018.848027
506	2018.686953
507	2018.568069
508	2018.406164
509	2018.261895
510	2018.119125
511	2018.003081
512	2017.819834
513	2017.643895
514	2017.47229
515	2017.219455
516	2017.081399
517	2016.983733
518	2016.82297
519	2016.716811
520	2016.664482
521	2016.554167
522	2016.434619
523	2016.310013
524	2016.128518
525	2016.040573
526	2015.837033
527	2015.717608
528	2015.60979
529	2015.461178
530	2015.319063
531	2015.17093
532	2014.974474
533	2014.844257
534	2014.689818
535	2014.572858
536	2014.430152
537	2014.292518
538	2014.127765
539	2013.973704
540	2013.791775
541	2013.699328
542	2013.561405
543	2013.443994
544	2013.297717
545	2013.094345
546	2012.920489
547	2012.815435
548	2012.676867
549	2012.510552
550	2012.253586
551	2012.170985
552	2011.985066
553	2011.918054
554	2011.810526
555	2011.731985
556	2011.482242
557	2011.367939
558	2011.29907
559	2011.20882
560	2010.994203
561	2010.866353
562	2010.63601
563	2010.472287
564	2010.351981
565	2010.162609
566	2010.029628
567	2009.893939
568	2009.717663
569	2009.564798
570	2009.401734
571	2009.265141
572	2009.17772
573	2008.985669
574	2008.902129
575	2008.746086
576	2008.667211
577	2008.549175
578	2008.430917
579	2008.263184
580	2008.179599
581	2008.054864
582	2007.920268
583	2007.82589
584	2007.766208
585	2007.586494
586	2007.436162
587	2007.28162
588	2007.184005
589	2006.989219
590	2006.846048
591	2006.698087
592	2006.5558
593	2006.420133
594	2006.27624
595	2006.140612
596	2006.052278
597	2005.978658
598	2005.785154
599	2005.684426
600	2005.572744
601	2005.402651
602	2005.33619
603	2005.215666
604	2005.098442
605	2004.979612
606	2004.867238
607	2004.712977
608	2004.654628
609	2004.571176
610	2004.450927
611	2004.350357
612	2004.258863
613	2004.1626
614	2004.078702
615	2003.890593
616	2003.780077
617	2003.624384
618	2003.433091
619	2003.338519
620	2003.259992
621	2003.123845
622	2003.005753
623	2002.903445
624	2002.779762
625	2002.647084
626	2002.50741
627	2002.386117
628	2002.250409
629	2002.095116
630	2001.929459
631	2001.855834
632	2001.776704
633	2001.680333
634	2001.555186
635	2001.420239
636	2001.304549
637	2001.172954
638	2001.013191
639	2000.890581
640	2000.696579
641	2000.539536
642	2000.437639
643	2000.30544
644	2000.210205
645	2000.079248
646	1999.993177
647	1999.835406
648	1999.677535
649	1999.578571
650	1999.447673
651	1999.301981
652	1999.221023
653	1999.037255
654	1998.890031
655	1998.749356
656	1998.656278
657	1998.529363
658	1998.452568
659	1998.294633
660	1998.198328
661	1998.068777
662	1997.944478
663	1997.850095
664	1997.705038
665	1997.583205
666	1997.422308
667	1997.301328
668	1997.199051
669	1997.033106
670	1996.935092
671	1996.76917
672	1996.683673
673	1996.556496
674	1996.499968
675	1996.30142
676	1996.202015
677	1996.116811
678	1996.032174
679	1995.812814
680	1995.662331
681	1995.526116
682	1995.321506
683	1995.194337
684	1994.961977
685	1994.903978
686	1994.812154
687	1994.6686
688	1994.515514
689	1994.364367
690	1994.244741
691	1994.030485
692	1993.877637
693	1993.736129
694	1993.624886
695	1993.555101
696	1993.441683
697	1993.348422
698	1993.192816
699	1993.139126
700	1993.014467
701	1992.789319
702	1992.674323
703	1992.555415
704	1992.467159
705	1992.354421
706	1992.258404
707	1992.087614
708	1991.987585
709	1991.861819
710	1991.717288
711	1991.631291
712	1991.544804
713	1991.405044
714	1991.279768
715	1991.153822
716	1991.006106
717	1990.871898
718	1990.786331
719	1990.696175
720	1990.613699
721	1990.507465
722	1990.369843
723	1990.2449
724	1990.137925
725	1990.039582
726	1989.924989
727	1989.827706
728	1989.744436
729	1989.612037
730	1989.483135
731	1989.383434
732	1989.229316
733	1989.062142
734	1988.832501
735	1988.765825
736	1988.654569
737	1988.522328
738	1988.408272
739	1988.292664
740	1988.178823
741	1988.087108
742	1987.977682
743	1987.798357
744	1987.666844
745	1987.540003
746	1987.484445
747	1987.398737
748	1987.282072
749	1987.16078
750	1987.074816
751	1986.94374
752	1986.700441
753	1986.576679
754	1986.480124
755	1986.389483
756	1986.261212
757	1986.185107
758	1986.060435
759	1985.955173
760	1985.870667
761	1985.79184
762	1985.687333
763	1985.553425
764	1985.43817
765	1985.38054
766	1985.331765
767	1985.262965
768	1985.142587
769	1985.043243
770	1984.942801
771	1984.828375
772	1984.731334
773	1984.655017
774	1984.595036
775	1984.497514
776	1984.41139
777	1984.2848
778	1984.140454
779	1983.94571
780	1983.886358
781	1983.810133
782	1983.646502
783	1983.536471
784	1983.396988
785	1983.324366
786	1983.200887
787	1983.044354
788	1982.967277
789	1982.840188
790	1982.719722
791	1982.592261
792	1982.55655
793	1982.492023
794	1982.38852
795	1982.29997
796	1982.160408
797	1982.046071
798	1981.966672
799	1981.809814
800	1981.666076
801	1981.600047
802	1981.478872
803	1981.343445
804	1981.199637
805	1981.077467
806	1980.992903
807	1980.937596
808	1980.821644
809	1980.703367
810	1980.60556
811	1980.494923
812	1980.452175
813	1980.330896
814	1980.226754
815	1980.153577
816	1980.053076
817	1979.957153
818	1979.860271
819	1979.704062
820	1979.517337
821	1979.34813
822	1979.258175
823	1979.134632
824	1979.007282
825	1978.839721
826	1978.627352
827	1978.583449
828	1978.512135
829	1978.341755
830	1978.135151
831	1977.949086
832	1977.757979
833	1977.689189
834	1977.580307
835	1977.471349
836	1977.290792
837	1977.166972
838	1977.060711
839	1976.974229
840	1976.795653
841	1976.610674
842	1976.533436
843	1976.444805
844	1976.351471
845	1976.294753
846	1976.198992
847	1976.108703
848	1976.051422
849	1975.999672
850	1975.932581
851	1975.86755
852	1975.796982
853	1975.742532
854	1975.709971
855	1975.633912
856	1975.513113
857	1975.415332
858	1975.275916
859	1975.170966
860	1975.045659
861	1974.923193
862	1974.820947
863	1974.68693
864	1974.600381
865	1974.528852
866	1974.462327
867	1974.360445
868	1974.244488
869	1974.12634
870	1974.085666
871	1974.003916
872	1973.918328
873	1973.77514
874	1973.676372
875	1973.633912
876	1973.57236
877	1973.535295
878	1973.468461
879	1973.334808
880	1973.109444
881	1972.917611
882	1972.809512
883	1972.688815
884	1972.578289
885	1972.445051
886	1972.332889
887	1972.218119
888	1972.140837
889	1972.026872
890	1971.948322
891	1971.866615
892	1971.755735
893	1971.683249
894	1971.505741
895	1971.399683
896	1971.30511
897	1971.224834
898	1971.136978
899	1971.070157
900	1970.986884
901	1970.919139
902	1970.801394
903	1970.730222
904	1970.589102
905	1970.517361
906	1970.447104
907	1970.360458
908	1970.302717
909	1970.205141
910	1970.078532
911	1969.985893
912	1969.8826
913	1969.837494
914	1969.722525
915	1969.580602
916	1969.514396
917	1969.425521
918	1969.284202
919	1969.245663
920	1969.139015
921	1969.0641
922	1968.949547
923	1968.842092
924	1968.754582
925	1968.689341
926	1968.562993
927	1968.477845
928	1968.43041
929	1968.356713
930	1968.273481
931	1968.158222
932	1968.065467
933	1967.942502
934	1967.797125
935	1967.711431
936	1967.665774
937	1967.584235
938	1967.519634
939	1967.449083
940	1967.350944
941	1967.167657
942	1967.045139
943	1966.86834
944	1966.723247
945	1966.665623
946	1966.574681
947	1966.432463
948	1966.362746
949	1966.28844
950	1966.175763
951	1966.108378
952	1965.977696
953	1965.880053
954	1965.735362
955	1965.578305
956	1965.430828
957	1965.393911
958	1965.333392
959	1965.278132
960	1965.165695
961	1965.098129
962	1965.030291
963	1964.951878
964	1964.86812
965	1964.810095
966	1964.689256
967	1964.634673
968	1964.580896
969	1964.4378
970	1964.342334
971	1964.187525
972	1964.065604
973	1964.015801
974	1963.933128
975	1963.844871
976	1963.74471
977	1963.693376
978	1963.633675
979	1963.515132
980	1963.406834
981	1963.275391
982	1963.200747
983	1963.114489
984	1962.998781
985	1962.780152
986	1962.695536
987	1962.598991
988	1962.514908
989	1962.37385
990	1962.27518
991	1962.146961
992	1962.001125
993	1961.871443
994	1961.76518
995	1961.659761
996	1961.52587
997	1961.433117
998	1961.310336
999	1961.194698
