iter	Passed	Remaining
0	48	48275
1	82	41274
2	116	38566
3	158	39514
4	205	40968
5	243	40365
6	282	40038
7	313	38889
8	345	38007
9	381	37781
10	421	37875
11	459	37852
12	492	37421
13	526	37092
14	560	36780
15	598	36790
16	634	36714
17	667	36399
18	697	36010
19	731	35842
20	762	35569
21	794	35300
22	832	35358
23	866	35256
24	906	35335
25	937	35124
26	971	35015
27	1003	34819
28	1033	34619
29	1074	34743
30	1106	34584
31	1145	34659
32	1190	34880
33	1236	35140
34	1286	35458
35	1327	35539
36	1368	35629
37	1397	35374
38	1432	35302
39	1467	35208
40	1503	35159
41	1533	34979
42	1567	34887
43	1602	34811
44	1638	34766
45	1679	34829
46	1717	34824
47	1753	34783
48	1789	34727
49	1828	34744
50	1863	34668
51	1905	34729
52	1937	34617
53	1966	34450
54	1994	34277
55	2025	34150
56	2058	34057
57	2085	33867
58	2119	33805
59	2152	33726
60	2179	33549
61	2212	33472
62	2242	33351
63	2279	33343
64	2308	33209
65	2338	33096
66	2373	33047
67	2403	32941
68	2432	32826
69	2463	32722
70	2491	32596
71	2531	32631
72	2583	32802
73	2641	33055
74	2691	33189
75	2730	33192
76	2768	33182
77	2800	33108
78	2837	33084
79	2868	32992
80	2903	32941
81	2943	32957
82	2985	32988
83	3031	33055
84	3073	33084
85	3105	33006
86	3142	32981
87	3171	32870
88	3207	32831
89	3241	32775
90	3275	32723
91	3312	32697
92	3353	32708
93	3395	32730
94	3443	32801
95	3478	32753
96	3510	32681
97	3539	32579
98	3571	32506
99	3601	32412
100	3628	32297
101	3667	32286
102	3696	32189
103	3728	32126
104	3757	32025
105	3785	31925
106	3817	31859
107	3846	31765
108	3877	31697
109	3913	31665
110	3954	31668
111	3989	31634
112	4023	31581
113	4056	31529
114	4101	31563
115	4139	31545
116	4175	31515
117	4213	31492
118	4252	31485
119	4286	31431
120	4321	31392
121	4367	31433
122	4410	31445
123	4448	31423
124	4493	31451
125	4536	31470
126	4578	31475
127	4608	31398
128	4638	31322
129	4669	31251
130	4699	31176
131	4728	31092
132	4766	31070
133	4798	31008
134	4823	30907
135	4854	30839
136	4883	30760
137	4924	30758
138	4956	30700
139	4988	30643
140	5018	30573
