iter	Passed	Remaining
0	32	32912
1	69	34626
2	100	33401
3	132	32955
4	164	32658
5	203	33739
6	235	33348
7	266	33006
8	301	33243
9	337	33410
10	373	33564
11	406	33477
12	447	33997
13	481	33927
14	513	33702
15	545	33544
16	578	33434
17	609	33237
18	643	33239
19	678	33262
20	710	33114
21	747	33228
22	776	32998
23	808	32896
24	842	32855
25	872	32693
26	902	32531
27	933	32403
28	962	32226
29	988	31975
30	1016	31771
31	1047	31677
32	1076	31557
33	1105	31410
34	1133	31244
35	1160	31082
36	1192	31038
37	1217	30833
38	1251	30845
39	1279	30709
40	1311	30686
41	1337	30506
42	1363	30353
43	1390	30216
44	1420	30152
45	1457	30226
46	1483	30084
47	1511	29968
48	1537	29847
49	1564	29723
50	1592	29626
51	1619	29532
52	1653	29552
53	1679	29415
54	1707	29332
55	1736	29270
56	1766	29220
57	1792	29119
58	1821	29058
59	1848	28963
60	1878	28917
61	1907	28857
62	1935	28779
63	1964	28725
64	1991	28646
65	2018	28557
66	2043	28460
67	2074	28429
68	2104	28389
69	2132	28331
70	2158	28242
71	2189	28221
72	2215	28138
73	2246	28115
74	2271	28019
75	2299	27954
76	2330	27940
77	2356	27854
78	2385	27808
79	2414	27766
80	2441	27702
81	2468	27632
82	2493	27546
83	2520	27489
84	2550	27459
85	2576	27384
86	2607	27358
87	2634	27299
88	2665	27279
89	2689	27192
90	2717	27141
91	2742	27069
92	2773	27049
93	2808	27068
94	2839	27045
95	2866	26993
96	2895	26958
97	2924	26913
98	2952	26867
99	2980	26827
100	3008	26778
101	3036	26733
102	3062	26667
103	3090	26628
104	3116	26563
105	3144	26523
106	3172	26476
107	3203	26455
108	3229	26398
109	3258	26363
110	3289	26343
111	3318	26309
112	3344	26253
113	3372	26211
114	3405	26210
115	3437	26198
116	3466	26165
117	3498	26148
118	3528	26123
119	3557	26088
120	3584	26037
121	3614	26010
122	3645	25994
123	3671	25936
124	3699	25898
125	3726	25850
126	3752	25797
127	3779	25746
128	3810	25729
129	3849	25764
130	3879	25734
131	3909	25709
132	3945	25719
133	3976	25695
134	4004	25655
135	4035	25634
136	4067	25621
137	4101	25620
138	4133	25605
139	4164	25584
140	4193	25548
141	4221	25509
142	4250	25470
143	4280	25443
144	4315	25446
145	4350	25448
146	4383	25434
147	4413	25405
148	4443	25376
149	4470	25330
150	4501	25309
151	4532	25287
152	4563	25264
153	4592	25230
154	4627	25227
155	4658	25201
156	4690	25186
157	4729	25204
158	4759	25172
159	4789	25146
160	4821	25127
161	4856	25124
162	4888	25101
163	4919	25079
164	4952	25062
165	4986	25052
166	5018	25030
167	5049	25008
168	5081	24987
169	5111	24954
170	5145	24942
171	5177	24923
172	5203	24875
173	5230	24829
174	5259	24795
175	5289	24764
176	5314	24710
177	5340	24662
178	5369	24628
179	5400	24603
180	5429	24568
181	5461	24547
182	5492	24523
183	5519	24479
184	5550	24451
185	5578	24413
186	5604	24366
187	5637	24347
188	5662	24298
189	5688	24251
190	5714	24204
191	5743	24170
192	5768	24121
193	5795	24079
194	5832	24078
195	5862	24047
196	5890	24011
197	5919	23977
198	5944	23929
199	5971	23886
200	5996	23838
201	6026	23809
202	6059	23790
203	6088	23755
204	6115	23716
205	6143	23677
206	6172	23644
207	6201	23613
208	6230	23579
209	6260	23552
210	6299	23554
211	6328	23523
212	6356	23487
213	6388	23464
214	6422	23451
215	6456	23436
216	6489	23417
217	6524	23403
218	6556	23381
219	6680	23685
220	6729	23721
221	6769	23725
222	6810	23728
223	6840	23698
224	6875	23681
225	6904	23644
226	6935	23618
227	6971	23604
228	6998	23563
229	7025	23520
230	7052	23477
231	7082	23444
232	7113	23417
233	7139	23371
234	7174	23356
235	7207	23331
236	7234	23291
237	7262	23252
238	7294	23227
239	7326	23201
240	7358	23174
241	7394	23161
242	7429	23143
243	7461	23117
244	7496	23101
245	7528	23073
246	7563	23057
247	7596	23033
248	7628	23008
249	7657	22972
250	7690	22949
251	7721	22919
252	7757	22904
253	7793	22890
254	7824	22860
255	7858	22837
256	7890	22812
257	7922	22783
258	7953	22755
259	7984	22725
260	8020	22709
261	8047	22668
262	8079	22641
263	8107	22602
264	8132	22555
265	8165	22532
266	8197	22503
267	8232	22484
268	8267	22466
269	8304	22454
270	8338	22431
271	8369	22399
272	8400	22369
273	8430	22337
274	8466	22319
275	8499	22295
276	8529	22263
277	8563	22241
278	8598	22219
279	8634	22203
280	8664	22171
281	8703	22161
282	8739	22141
283	8775	22123
284	8807	22095
285	8836	22060
286	8867	22029
287	8898	21999
288	8931	21974
289	8961	21939
290	8988	21898
291	9013	21854
292	9042	21820
293	9072	21787
294	9102	21752
295	9130	21716
296	9162	21688
297	9197	21667
298	9237	21656
299	9272	21634
300	9307	21613
301	9340	21588
302	9373	21562
303	9406	21535
304	9437	21505
305	9475	21490
306	9511	21469
307	9544	21443
308	9579	21421
309	9611	21393
310	9645	21369
311	9683	21354
312	9719	21333
313	9751	21304
314	9790	21289
315	9819	21255
316	9851	21224
317	9879	21187
318	9909	21153
319	9940	21124
320	9969	21087
321	10001	21058
322	10031	21026
323	10062	20994
324	10092	20960
325	10119	20922
326	10145	20880
327	10177	20850
328	10206	20817
329	10240	20791
330	10274	20765
331	10310	20745
332	10341	20713
333	10374	20686
334	10405	20654
335	10438	20628
336	10466	20592
337	10498	20562
338	10529	20531
339	10561	20502
340	10590	20466
341	10622	20437
342	10654	20408
343	10687	20380
344	10717	20348
345	10746	20313
346	10777	20281
347	10806	20245
348	10835	20212
349	10865	20177
350	10895	20146
351	10923	20109
352	10959	20086
353	10989	20053
354	11017	20017
355	11044	19978
356	11074	19946
357	11105	19915
358	11130	19873
359	11159	19838
360	11187	19803
361	11218	19772
362	11247	19737
363	11275	19700
364	11307	19671
365	11334	19634
366	11362	19598
367	11393	19567
368	11421	19531
369	11450	19496
370	11479	19463
371	11512	19435
372	11542	19403
373	11572	19369
374	11601	19336
375	11630	19301
376	11656	19262
377	11684	19226
378	11722	19207
379	11757	19182
380	11788	19151
381	11822	19126
382	11852	19094
383	11884	19064
384	11917	19036
385	11949	19007
386	11979	18975
387	12008	18941
388	12037	18907
389	12067	18874
390	12098	18844
391	12133	18818
392	12164	18787
393	12194	18755
394	12226	18726
395	12254	18691
396	12285	18659
397	12315	18627
398	12345	18595
399	12371	18557
400	12400	18524
401	12429	18489
402	12458	18455
403	12485	18418
404	12511	18380
405	12544	18352
406	12573	18320
407	12610	18296
408	12642	18268
409	12675	18240
410	12707	18211
411	12742	18186
412	12774	18157
413	12805	18126
414	12836	18095
415	12867	18063
416	12896	18030
417	12925	17997
418	12956	17965
419	12985	17932
420	13017	17902
421	13046	17868
422	13072	17831
423	13101	17798
424	13133	17768
425	13164	17737
426	13197	17709
427	13230	17682
428	13267	17658
429	13297	17626
430	13329	17597
431	13360	17566
432	13391	17535
433	13424	17508
434	13454	17474
435	13484	17443
436	13515	17412
437	13550	17387
438	13582	17356
439	13608	17320
440	13638	17288
441	13669	17257
442	13698	17223
443	13729	17192
444	13762	17164
445	13791	17130
446	13817	17093
447	13848	17063
448	13880	17033
449	13908	16999
450	13938	16966
451	13967	16933
452	13999	16904
453	14032	16876
454	14063	16845
455	14096	16817
456	14127	16785
457	14158	16754
458	14190	16726
459	14221	16694
460	14250	16661
461	14278	16626
462	14310	16597
463	14337	16562
464	14363	16526
465	14389	16489
466	14419	16457
467	14448	16424
468	14477	16390
469	14510	16362
470	14537	16327
471	14563	16291
472	14589	16254
473	14615	16219
474	14642	16183
475	14670	16149
476	14698	16116
477	14730	16086
478	14757	16051
479	14783	16015
480	14810	15980
481	14839	15947
482	14865	15912
483	14893	15878
484	14920	15843
485	14953	15814
486	14986	15786
487	15020	15759
488	15047	15724
489	15074	15689
490	15101	15655
491	15129	15621
492	15158	15588
493	15188	15557
494	15217	15524
495	15246	15492
496	15275	15459
497	15302	15425
498	15330	15392
499	15357	15357
500	15387	15326
501	15416	15293
502	15444	15259
503	15471	15226
504	15497	15191
505	15523	15154
506	15551	15121
507	15582	15091
508	15613	15061
509	15645	15032
510	15671	14996
511	15699	14963
512	15726	14929
513	15755	14897
514	15781	14862
515	15809	14829
516	15843	14801
517	15878	14774
518	15904	14739
519	15935	14710
520	15974	14686
521	16011	14662
522	16047	14635
523	16082	14609
524	16116	14581
525	16144	14548
526	16174	14517
527	16200	14482
528	16226	14447
529	16255	14415
530	16284	14382
531	16313	14350
532	16341	14318
533	16372	14287
534	16403	14256
535	16436	14228
536	16467	14198
537	16498	14168
538	16530	14137
539	16561	14107
540	16588	14074
541	16619	14044
542	16650	14013
543	16680	13982
544	16715	13955
545	16745	13924
546	16774	13891
547	16803	13860
548	16833	13828
549	16861	13795
550	16889	13763
551	16923	13735
552	16955	13705
553	16985	13673
554	17018	13645
555	17046	13612
556	17080	13585
557	17114	13556
558	17146	13527
559	17176	13495
560	17205	13464
561	17232	13430
562	17261	13398
563	17291	13367
564	17321	13336
565	17354	13306
566	17385	13277
567	17419	13248
568	17451	13219
